age,weight,height,sex,goal,activity,recommended_diet,initial_weight,final_weight,duration_days,waist_before,waist_after,hips_before,hips_after,chest_before,chest_after,food_likes,food_dislikes,diet_type_used,satisfaction_level,success,estimated_lean_mass,calories_deficit,macro_protein,macro_fat,macro_carbs,food_intolerance
27,80.0,192,мъж,отслабване,ниска,високопротеинов,69.0,80.0,172,93,92,114,110,116,113,"сладки, пилешко, плодове","плодове, пилешко",високопротеинов,5,Не,53.8,1771,98,76,268,глутен
20,85.6,199,жена,качване,средна,високопротеинов,84.6,85.6,38,93,87,117,113,81,80,"пилешко, яйца, плодове","сирене, плодове",високопротеинов,5,True,68.5,2449,116,67,183,
21,78.2,186,жена,качване,средна,балансиран,83.9,78.2,70,110,105,116,108,83,74,"тестени изделия, яйца, пилешко","яйца, зеленчуци",балансиран,3,False,62.6,1694,117,78,222,
48,64.6,195,мъж,поддържане,ниска,растителен,71.3,64.6,46,96,91,93,88,97,90,"сладко, тестени изделия, зеленчуци","ориз, риба",растителен,2,False,51.7,1732,143,83,179,
45,87.0,194,мъж,поддържане,висока,вегетариански,77.0,87.0,127,95,89,103,95,93,83,"яйца, мляко, риба","зеленчуци, сладки",вегетариански,3,Не,69.9,1657,97,40,118,фъстъци
54,96.6,165,жена,отслабване,средна,балансиран,86.9,96.6,42,109,99,100,93,111,103,"ориз, сладко, яйца","тестени изделия, плодове",балансиран,1,False,77.3,1989,138,87,192,
54,63.0,184,мъж,поддържане,висока,високопротеинов,55.0,63.0,122,98,91,120,114,80,80,"плодове, пилешко, бобови","яйца, плодове",високопротеинов,4,Да,66.4,1444,115,75,230,лактоза
23,62.0,179,мъж,поддържане,висока,вегетариански,57.0,62.0,42,95,86,103,94,96,94,"риба, хляб, бобови","риба, пилешко",вегетариански,8,Да,50.6,1816,104,90,168,
52,120.3,161,жена,качване,средна,балансиран,119.9,120.3,39,98,93,113,106,85,83,"ориз, яйца, сирене","сирене, сладко",балансиран,2,True,96.2,1549,92,88,182,
32,64.0,188,мъж,отслабване,висока,кето,49.0,64.0,30,91,82,96,94,101,99,"хляб, пилешко, мляко","яйца, бобови",кето,6,Да,54.3,2210,155,46,186,лактоза
37,51.0,181,жена,отслабване,средна,вегетариански,37.0,51.0,91,83,74,101,101,83,79,"мляко, бобови, яйца","бобови, пилешко",вегетариански,3,Не,63.2,2225,126,42,202,лактоза
55,66.0,161,мъж,отслабване,висока,вегетариански,51.0,66.0,116,99,97,92,87,113,107,"яйца, плодове, пилешко","хляб, пилешко",вегетариански,5,Не,68.2,1979,113,79,294,глутен
31,63.7,174,мъж,поддържане,средна,балансиран,57.0,63.7,39,81,77,90,83,104,102,"риба, тестени изделия, плодове","картофи, зеленчуци",балансиран,2,True,51.0,2268,83,66,237,
41,79.8,172,жена,качване,ниска,балансиран,78.9,79.8,78,86,82,119,118,93,87,"пилешко, ориз, картофи","сладко, ориз",балансиран,5,True,63.8,1686,130,85,257,
55,104.4,174,мъж,поддържане,ниска,високопротеинов,104.1,104.4,103,88,80,111,109,117,107,"сирене, зеленчуци, риба","картофи, ориз",високопротеинов,1,True,83.5,2119,134,57,200,
63,68.2,182,мъж,поддържане,средна,балансиран,60.3,68.2,40,79,76,120,118,97,88,"сладко, картофи, плодове","сирене, риба",балансиран,10,True,54.6,1703,105,72,178,
53,60.7,172,мъж,поддържане,ниска,високопротеинов,60.7,60.7,68,82,74,92,91,84,77,"ориз, картофи, тестени изделия","ориз, плодове",високопротеинов,10,False,48.6,2337,130,68,192,
41,93.6,153,мъж,качване,висока,високопротеинов,101.2,93.6,75,94,87,105,102,89,84,"тестени изделия, плодове, яйца","сладко, картофи",високопротеинов,3,False,74.9,2253,91,80,198,
44,61.0,160,жена,отслабване,ниска,кето,54.0,61.0,94,75,72,95,89,86,85,"риба, мляко, плодове","пилешко, бобови",кето,2,Да,51.6,1718,90,81,199,
38,101.0,160,мъж,качване,средна,високопротеинов,90.0,101.0,52,97,96,97,91,117,111,"бобови, риба, зеленчуци","плодове, хляб",високопротеинов,3,Да,57.8,1633,147,72,149,глутен
46,71.7,176,мъж,качване,висока,нисковъглехидратен,67.3,71.7,57,102,96,95,87,111,107,"ориз, зеленчуци, яйца","сирене, яйца",нисковъглехидратен,8,True,57.4,2057,112,56,259,
24,101.8,158,мъж,поддържане,ниска,нисковъглехидратен,92.0,101.8,37,97,88,110,109,115,110,"ориз, зеленчуци, плодове","сладко, зеленчуци",нисковъглехидратен,2,True,81.4,2317,103,93,164,
53,62.0,182,мъж,качване,висока,нисковъглехидратен,58.0,62.0,72,90,82,104,103,93,84,"мляко, риба, плодове","мляко, пилешко",нисковъглехидратен,9,Не,56.4,1518,151,69,272,
58,125.8,185,мъж,отслабване,ниска,нисковъглехидратен,118.7,125.8,81,84,79,116,106,100,98,"плодове, сладко, зеленчуци","яйца, сладко",нисковъглехидратен,5,False,100.6,1719,127,63,243,
48,91.8,185,мъж,качване,висока,високопротеинов,91.0,91.8,64,101,91,120,111,101,98,"картофи, сирене, плодове","яйца, ориз",високопротеинов,8,True,73.4,2453,127,71,295,
28,58.0,173,жена,качване,средна,вегетариански,55.0,58.0,37,91,85,98,90,84,80,"риба, мляко, зеленчуци","бобови, хляб",вегетариански,10,Да,54.2,1922,93,76,272,лактоза
51,95.0,181,мъж,отслабване,ниска,високопротеинов,97.6,95.0,93,76,74,119,110,98,95,"плодове, картофи, ориз","тестени изделия, плодове",високопротеинов,8,True,76.0,2081,129,96,215,
48,65.0,193,жена,поддържане,ниска,високопротеинов,54.0,65.0,151,93,89,90,80,118,118,"пилешко, зеленчуци, яйца","бобови, сладки",високопротеинов,2,Да,66.4,2195,81,65,165,фъстъци
61,85.7,169,жена,качване,ниска,нисковъглехидратен,83.8,85.7,34,85,78,109,103,95,87,"риба, зеленчуци, плодове","ориз, яйца",нисковъглехидратен,4,True,68.6,2075,81,57,291,
53,80.6,159,жена,качване,висока,високопротеинов,85.5,80.6,53,82,74,91,88,111,108,"зеленчуци, плодове, ориз","сладко, яйца",високопротеинов,3,False,64.5,1671,126,95,216,
29,115.0,175,жена,отслабване,ниска,високопротеинов,117.9,115.0,34,93,85,114,111,100,91,"картофи, зеленчуци, пилешко","сирене, сладко",високопротеинов,1,True,92.0,2195,111,72,248,
29,94.0,189,мъж,отслабване,висока,кето,89.0,94.0,157,109,108,110,106,102,96,"пилешко, зеленчуци, риба","риба, бобови",кето,9,Да,56.6,1826,115,43,149,фъстъци
20,95.0,158,мъж,поддържане,средна,кето,81.0,95.0,68,108,100,94,89,119,114,"яйца, сладки, плодове","плодове, хляб",кето,5,Не,65.4,2154,122,83,128,
49,65.0,155,жена,качване,ниска,вегетариански,55.0,65.0,114,107,101,115,112,107,104,"яйца, риба, мляко","зеленчуци, плодове",вегетариански,5,Да,57.3,2167,94,60,239,
56,79.3,198,мъж,качване,ниска,балансиран,84.6,79.3,81,107,100,116,114,115,106,"яйца, ориз, тестени изделия","ориз, зеленчуци",балансиран,4,False,63.4,1728,87,90,230,
35,53.0,199,мъж,поддържане,средна,кето,43.0,53.0,45,86,82,95,88,84,77,"зеленчуци, сладки, риба","мляко, риба",кето,7,Да,60.3,1617,136,85,166,глутен
38,53.3,183,мъж,отслабване,средна,високопротеинов,61.5,53.3,66,91,88,117,112,107,102,"плодове, зеленчуци, картофи","зеленчуци, ориз",високопротеинов,7,True,42.6,1988,134,70,254,
24,101.8,158,мъж,поддържане,ниска,нисковъглехидратен,92.0,101.8,37,97,88,110,109,115,110,"ориз, зеленчуци, плодове","сладко, зеленчуци",нисковъглехидратен,2,True,81.4,2317,103,93,164,
37,103.0,167,жена,поддържане,висока,вегетариански,100.0,103.0,88,78,74,113,106,100,96,"сладки, риба, мляко","мляко, зеленчуци",вегетариански,9,Не,65.5,2455,100,44,179,
47,96.0,150,мъж,качване,средна,вегетариански,91.0,96.0,159,76,66,99,89,112,103,"зеленчуци, яйца, мляко","яйца, пилешко",вегетариански,1,Да,68.2,2029,110,43,161,фъстъци
49,94.0,156,мъж,качване,ниска,високопротеинов,84.0,94.0,157,102,92,100,98,119,115,"хляб, сладки, риба","мляко, риба",високопротеинов,5,Да,52.4,2223,108,79,290,глутен
49,88.0,170,мъж,качване,висока,вегетариански,87.0,88.0,122,95,93,112,106,103,97,"хляб, пилешко, яйца","хляб, бобови",вегетариански,9,Да,50.4,2309,133,68,173,фъстъци
59,79.5,189,мъж,качване,висока,растителен,77.2,79.5,75,104,94,119,113,112,104,"плодове, тестени изделия, пилешко","яйца, риба",растителен,1,True,63.6,1748,99,59,265,
65,74.0,181,жена,отслабване,средна,нисковъглехидратен,68.0,74.0,85,88,78,96,90,91,85,"яйца, пилешко, бобови","плодове, зеленчуци",нисковъглехидратен,6,Не,47.1,2360,97,60,277,
57,78.1,155,мъж,качване,средна,нисковъглехидратен,86.0,78.1,57,71,64,95,93,118,111,"зеленчуци, яйца, сирене","тестени изделия, риба",нисковъглехидратен,5,False,62.5,2407,88,53,271,
22,83.2,188,жена,качване,висока,балансиран,80.1,83.2,30,83,73,105,101,110,107,"сладко, сирене, тестени изделия","сирене, пилешко",балансиран,6,True,66.6,2161,108,75,189,
18,105.6,183,жена,поддържане,висока,балансиран,99.5,105.6,66,108,103,116,114,118,113,"пилешко, плодове, ориз","тестени изделия, картофи",балансиран,9,True,84.5,1704,102,53,151,
56,103.0,159,мъж,поддържане,средна,вегетариански,91.0,103.0,90,98,88,95,92,116,111,"пилешко, плодове, сладки","риба, пилешко",вегетариански,7,Не,52.5,2490,109,64,274,глутен
24,65.9,171,жена,отслабване,средна,растителен,59.9,65.9,104,86,82,98,89,84,81,"риба, яйца, плодове","пилешко, ориз",растителен,6,False,52.7,1744,145,60,207,
42,76.0,183,мъж,качване,висока,нисковъглехидратен,61.0,76.0,176,85,78,99,98,105,105,"бобови, яйца, пилешко","мляко, яйца",нисковъглехидратен,4,Да,46.1,1560,135,52,260,глутен
43,98.0,164,жена,качване,ниска,кето,97.0,98.0,164,97,90,120,112,82,74,"хляб, сладки, мляко","яйца, мляко",кето,8,Не,62.2,1424,106,64,248,лактоза
35,71.6,164,жена,качване,средна,балансиран,62.5,71.6,67,77,68,116,114,101,92,"ориз, тестени изделия, картофи","картофи, сирене",балансиран,3,True,57.3,2435,91,73,172,
32,56.6,191,мъж,качване,средна,високопротеинов,61.5,56.6,79,75,69,117,115,92,86,"ориз, плодове, сладко","плодове, картофи",високопротеинов,4,False,45.3,2435,91,61,293,
47,76.4,161,жена,поддържане,висока,нисковъглехидратен,66.5,76.4,47,70,67,105,99,93,89,"пилешко, плодове, ориз","плодове, сладко",нисковъглехидратен,4,True,61.1,2172,106,81,169,
39,79.0,168,мъж,качване,висока,високопротеинов,64.0,79.0,64,102,95,98,95,87,82,"яйца, мляко, хляб","плодове, яйца",високопротеинов,5,Да,49.4,2230,134,72,183,лактоза
25,121.6,160,жена,качване,ниска,растителен,113.1,121.6,54,81,77,93,91,113,107,"яйца, зеленчуци, ориз","картофи, пилешко",растителен,9,True,97.3,2117,126,98,172,
65,105.0,165,мъж,поддържане,ниска,високопротеинов,98.0,105.0,81,85,76,101,99,86,85,"риба, мляко, плодове","пилешко, бобови",високопротеинов,10,Не,57.3,1962,142,51,295,
65,53.0,170,мъж,отслабване,висока,кето,38.0,53.0,158,103,101,91,83,85,83,"риба, бобови, хляб","зеленчуци, сладки",кето,4,Да,60.5,2258,154,76,233,лактоза
53,84.2,156,жена,поддържане,средна,растителен,78.3,84.2,42,100,98,99,89,119,114,"тестени изделия, картофи, сирене","плодове, риба",растителен,9,True,67.4,1517,130,69,268,
46,109.0,165,мъж,качване,ниска,вегетариански,105.0,109.0,55,110,101,102,100,81,74,"риба, пилешко, мляко","яйца, риба",вегетариански,8,Да,50.2,1954,146,68,205,фъстъци
50,101.0,167,мъж,отслабване,висока,кето,93.0,101.0,129,71,63,120,116,94,92,"хляб, сладки, бобови","яйца, риба",кето,10,Да,55.4,1712,134,59,254,
22,91.0,182,жена,поддържане,ниска,вегетариански,78.0,91.0,155,76,70,120,115,120,113,"яйца, сладки, риба","бобови, плодове",вегетариански,7,Не,53.1,1902,91,57,215,
49,58.0,152,мъж,качване,висока,кето,48.0,58.0,55,98,97,106,99,80,78,"сладки, яйца, пилешко","мляко, плодове",кето,7,Да,66.3,2492,128,60,260,фъстъци
63,105.3,196,жена,качване,висока,балансиран,110.8,105.3,50,99,95,117,109,84,83,"сладко, плодове, картофи","пилешко, плодове",балансиран,5,False,84.2,1526,129,82,183,
31,97.0,197,жена,качване,средна,кето,91.0,97.0,135,102,100,95,93,94,85,"плодове, зеленчуци, пилешко","яйца, пилешко",кето,2,Не,61.8,1913,92,52,285,
64,67.4,181,жена,отслабване,висока,високопротеинов,66.5,67.4,104,97,87,116,113,94,86,"плодове, риба, пилешко","риба, зеленчуци",високопротеинов,2,False,53.9,2237,97,83,282,
62,76.0,163,жена,качване,висока,кето,61.0,76.0,45,78,70,96,88,100,90,"мляко, сладки, яйца","яйца, мляко",кето,6,Не,60.3,1793,111,57,242,фъстъци
38,111.1,180,жена,качване,средна,растителен,107.8,111.1,98,108,98,100,98,92,87,"пилешко, тестени изделия, плодове","сирене, ориз",растителен,4,True,88.9,2084,140,80,176,
37,51.0,181,жена,отслабване,средна,вегетариански,37.0,51.0,91,83,74,101,101,83,79,"мляко, бобови, яйца","бобови, пилешко",вегетариански,3,Не,63.2,2225,126,42,202,лактоза
21,88.1,183,мъж,поддържане,ниска,балансиран,96.9,88.1,91,90,86,110,105,100,94,"ориз, картофи, яйца","сладко, сирене",балансиран,9,False,70.5,2239,125,64,232,
60,91.8,183,мъж,качване,ниска,високопротеинов,94.9,91.8,106,103,94,94,86,89,80,"ориз, зеленчуци, яйца","плодове, сладко",високопротеинов,9,False,73.4,1821,108,77,160,
63,64.1,153,жена,качване,висока,растителен,69.9,64.1,67,104,103,93,88,96,91,"яйца, риба, зеленчуци","яйца, тестени изделия",растителен,3,False,51.3,2174,139,74,166,
44,78.0,169,жена,качване,висока,високопротеинов,70.0,78.0,68,82,81,94,92,81,72,"плодове, зеленчуци, бобови","зеленчуци, бобови",високопротеинов,2,Не,48.4,2360,127,51,199,лактоза
30,102.0,166,мъж,поддържане,ниска,нисковъглехидратен,99.0,102.0,93,94,87,97,97,92,85,"риба, зеленчуци, мляко","сладки, плодове",нисковъглехидратен,1,Да,51.3,2011,105,63,113,фъстъци
29,71.0,162,мъж,поддържане,висока,кето,56.0,71.0,151,72,62,94,87,89,79,"мляко, хляб, зеленчуци","сладки, пилешко",кето,6,Да,50.2,2079,125,44,138,фъстъци
37,51.0,181,жена,отслабване,средна,вегетариански,37.0,51.0,91,83,74,101,101,83,79,"мляко, бобови, яйца","бобови, пилешко",вегетариански,3,Не,63.2,2225,126,42,202,лактоза
56,76.0,193,мъж,поддържане,средна,вегетариански,61.0,76.0,64,86,84,111,102,100,96,"зеленчуци, риба, бобови","хляб, яйца",вегетариански,10,Да,45.5,1447,151,81,256,
25,90.0,165,мъж,поддържане,средна,нисковъглехидратен,90.0,90.0,72,87,78,93,87,95,95,"пилешко, мляко, хляб","яйца, хляб",нисковъглехидратен,3,Не,47.3,2093,160,43,115,лактоза
37,89.0,186,жена,отслабване,висока,вегетариански,86.0,89.0,83,110,107,98,88,85,83,"зеленчуци, яйца, плодове","риба, яйца",вегетариански,8,Не,52.3,1874,116,85,172,лактоза
50,65.4,191,мъж,качване,средна,балансиран,58.6,65.4,99,74,65,95,92,97,92,"сладко, зеленчуци, плодове","плодове, сирене",балансиран,8,True,52.3,2151,139,56,239,
44,78.0,169,жена,качване,висока,високопротеинов,70.0,78.0,68,82,81,94,92,81,72,"плодове, зеленчуци, бобови","зеленчуци, бобови",високопротеинов,2,Не,48.4,2360,127,51,199,лактоза
51,70.3,169,мъж,поддържане,средна,растителен,63.9,70.3,48,76,67,118,112,120,116,"сладко, картофи, ориз","тестени изделия, риба",растителен,5,True,56.2,1850,98,59,241,
30,82.7,158,мъж,поддържане,средна,растителен,79.0,82.7,69,73,67,105,99,90,81,"сладко, плодове, сирене","картофи, пилешко",растителен,4,True,66.2,1677,108,52,223,
31,69.4,194,мъж,отслабване,висока,балансиран,66.7,69.4,53,98,97,92,89,101,91,"яйца, зеленчуци, картофи","тестени изделия, сладко",балансиран,1,False,55.5,1727,105,75,252,
63,74.0,194,мъж,поддържане,средна,вегетариански,67.0,74.0,67,70,69,114,108,94,92,"бобови, мляко, пилешко","бобови, зеленчуци",вегетариански,3,Не,61.7,2049,136,79,284,лактоза
41,105.0,200,жена,отслабване,средна,балансиран,99.0,105.0,93,76,71,114,106,106,97,"яйца, зеленчуци, сладки","яйца, бобови",балансиран,3,Не,64.6,2243,111,57,140,
34,68.0,187,жена,поддържане,ниска,балансиран,53.0,68.0,43,110,101,108,99,84,77,"зеленчуци, риба, сладки","сладки, плодове",балансиран,3,Да,69.8,2101,132,76,217,
25,105.0,192,мъж,отслабване,ниска,вегетариански,105.0,105.0,121,85,76,100,100,91,87,"пилешко, яйца, хляб","сладки, риба",вегетариански,8,Не,57.8,1623,137,72,156,лактоза
65,68.5,189,мъж,качване,ниска,растителен,60.6,68.5,65,78,77,103,102,115,113,"риба, сирене, тестени изделия","сладко, ориз",растителен,6,True,54.8,2186,126,90,277,
42,97.0,196,мъж,отслабване,висока,растителен,87.1,97.0,63,97,94,114,113,95,90,"картофи, ориз, риба","зеленчуци, сирене",растителен,5,False,77.6,2234,144,68,262,
26,78.9,196,мъж,качване,висока,нисковъглехидратен,82.8,78.9,66,75,71,95,86,111,105,"сирене, сладко, картофи","картофи, ориз",нисковъглехидратен,6,False,63.1,1729,138,82,242,
45,102.6,192,жена,отслабване,висока,нисковъглехидратен,105.9,102.6,41,103,96,112,102,88,84,"тестени изделия, зеленчуци, сирене","зеленчуци, сладко",нисковъглехидратен,1,True,82.1,1801,102,71,267,
57,81.0,198,жена,качване,средна,кето,80.0,81.0,82,87,79,94,90,108,101,"риба, пилешко, хляб","зеленчуци, яйца",кето,1,Не,47.3,1632,139,47,265,фъстъци
53,74.0,191,мъж,поддържане,ниска,вегетариански,72.0,74.0,147,98,89,104,103,111,104,"хляб, риба, зеленчуци","пилешко, риба",вегетариански,1,Да,65.6,2023,145,75,152,
37,77.8,178,жена,отслабване,средна,растителен,72.3,77.8,92,76,66,107,100,110,101,"тестени изделия, ориз, риба","ориз, плодове",растителен,3,False,62.2,1849,84,93,237,
