food_name,energy_kcal,protein_g,fat_g,carbs_g,vitamins_total,category
Сладка риба Гефилте,35,3.8,0.7,3.1,1.106,Риба и морски дарове
бракониерно яйце,72,6.3,4.7,0.4,1.987,Яйца
Тостада с говеждо сирене,315,19.0,16.3,22.8,8.601,Млечни продукти
Тостада със сирене боб,223,9.6,9.9,26.5,4.378,Млечни продукти
свинско тамале,247,10.4,12.8,22.4,3.51,Месо и месни продукти
начо със сирене,274,3.5,17.2,27.9,6.146,Млечни продукти
издърпано свинско в сос от барбекю,418,32.8,11.0,46.7,13.772,Месо и месни продукти
печен картоф със сос от сирене,474,14.6,28.7,46.5,32.088,Млечни продукти
печен боб,310,11.1,10.3,43.3,3.867,Бобови
Arroz Con Frijoles,220,6.8,5.6,35.6,2.991,Други
тако с маруля от говеждо сирене,156,6.1,8.8,13.7,2.284,Млечни продукти
бурито с говеждо сирене от боб,165,7.3,6.6,19.8,5.979,Млечни продукти
Яйчна смес,30,2.4,2.2,0.098,1.164,Други
Фалафел,57,2.3,3.0,5.4,0.61,Други
Тако салата с чили сос,193,11.6,8.8,17.7,5.93,Други
Пилето на генерал Цо,1578,69.0,87.5,128.3,35.925,Месо и месни продукти
бурито със сирене на боб,379,13.6,11.2,57.8,6.554,Млечни продукти
вегетариански филета,247,19.6,15.3,7.7,16.14,Други
бисквити с наденица с яйца,505,18.0,33.6,34.1,8.278,Месо и месни продукти
Пилешка чау мейн,513,40.8,16.9,50.1,26.885,Месо и месни продукти
Плодов бурито,231,2.5,9.5,35.0,4.023,Плодове
Arroz Con Leche,369,8.1,9.3,63.0,2.968,Други
Карамелен крем фланс,444,13.9,12.3,69.7,3.659,Други
желатинов десерт,167,3.3,0.0,38.3,0.212,Десерти и сладки
шоколадов млечен десерт,229,5.9,1.4,51.6,1.702,Десерти и сладки
Шоколадов мус,338,6.2,24.0,24.1,2.753,Десерти и сладки
Dulce de Leche,60,1.3,1.4,10.5,1.175,Други
Apple Crisp,454,4.9,9.7,87.0,10.596,Други
Царевична тестени изделия,176,3.7,1.0,39.1,1.151,Зърнени и тестени
спагети с месен сос,255,14.3,2.9,43.1,21.879,Други
Макаронени изделия с кюфтета в доматен сос,273,10.6,13.0,28.3,16.271,Други
сирене тортилини,332,14.6,7.8,50.8,3.97,Млечни продукти
Макаронени изделия с нарязани франки в доматен сос,227,11.0,6.0,32.0,15.927,Други
Лазаня,166,9.0,6.1,18.9,6.995,Други
Макарони сирене,310,12.6,9.4,43.7,4.791,Млечни продукти
Растителна лазаня,316,15.6,13.7,32.2,6.844,Други
сирене лазаня,316,15.9,13.0,33.6,48.71,Млечни продукти
Макаронени изделия с доматен сос,176,5.6,1.8,35.1,5.388,Други
Спаначни тестени изделия,37,1.4,0.3,7.1,0.774,Зърнени и тестени
зеленчукова пилешка супа,166,12.3,4.8,21.1,10.077,Зеленчуци
Супа от боб шунка,198,10.3,2.5,33.5,5.202,Месо и месни продукти
Крема от пилешка супа,227,6.0,14.5,18.0,3.543,Месо и месни продукти
Доматна супа консерви,139,6.3,3.3,22.6,19.161,Други
Супа от капка яйца,65,2.8,1.5,10.3,17.032,Други
шотландски бульон,197,12.1,6.4,23.0,6.375,Други
крем от лукова супа,268,6.7,12.8,31.7,6.771,Зеленчуци
Пилешки бульон сухо,10,0.7,0.2,1.1,0.604,Месо и месни продукти
зеленчукова супа с говеждо бульон,162,6.0,3.8,26.3,8.113,Зеленчуци
Чили с консервирани зърна,287,14.6,14.1,30.5,10.992,Други
супа от говеждо юфка,168,9.6,6.2,17.9,6.19,Други
consomme сухо,17,2.2,0.2,1.9,1.971,Други
супа от пилешки гъби,126,2.0,6.1,15.1,3.061,Месо и месни продукти
говеждо зеленчукова супа,120,8.0,2.9,15.4,13.432,Зеленчуци
Супа от черен боб,234,12.4,3.4,39.6,3.535,Бобови
Сплит грахова супа с бекон с шунка,189,11.6,3.1,28.6,0.0,Месо и месни продукти
Крем от супа от гъби,199,3.4,13.4,17.1,2.894,Други
Зелена грахова супа,320,16.7,5.7,51.7,7.063,Зеленчуци
супа от пилешки бульон,78,11.1,2.6,1.9,6.096,Месо и месни продукти
супа от пилешки гъби,431,16.2,23.7,38.3,10.8,Месо и месни продукти
пилешки кнедли супа,235,13.6,13.4,14.7,6.525,Месо и месни продукти
пилешка зеленчукова супа,148,7.1,5.6,17.0,5.607,Зеленчуци
Зеленчукова супа от пуйка,72,3.1,3.0,8.6,3.177,Зеленчуци
супа от Вонтън,71,4.6,0.6,11.7,3.858,Други
говеждо запаси,31,4.7,0.2,2.9,2.554,Други
супа от ечемик с гъби,186,4.6,5.5,29.3,3.086,Други
супа газпачо,70,10.7,0.4,6.6,13.502,Други
говеждо гъби супа,186,14.0,7.3,15.9,3.75,Други
пилешки ориз супа,127,12.3,3.2,13.0,9.188,Месо и месни продукти
Супа от пиперпот,100,6.2,4.5,9.1,3.019,Други
зеленчукова супа,149,4.3,4.0,24.6,8.841,Зеленчуци
Чили говеждо супа,308,13.4,6.7,49.6,14.571,Други
Пилешка супа,174,12.4,6.5,16.9,6.718,Месо и месни продукти
боб с супа от frankfurters,188,10.0,7.0,22.0,2.356,Бобови
Гравна супа,161,8.3,2.8,25.6,3.311,Други
супа от пуйка,135,10.2,4.4,14.1,11.438,Други
Супа от stockpot,201,9.8,7.8,23.1,7.694,Други
гореща кисела супа,91,6.0,2.8,10.1,2.953,Други
Супа от сирене,203,2.0,9.7,28.0,3.086,Млечни продукти
Крема от картофена супа,186,3.8,4.7,32.2,3.918,Зеленчуци
боб с супа от бекон,106,5.5,2.1,16.4,2.747,Месо и месни продукти
рибен запас,40,5.3,1.9,0.0,4.65,Други
Разцепена грахова супа с шунка,381,20.7,8.9,56.2,7.141,Месо и месни продукти
супа от говеждо бульон,17,2.7,0.5,0.01,2.21,Други
леща супа с шунка,139,9.3,2.8,20.2,6.492,Месо и месни продукти
Доматна супа,98,2.2,0.7,22.5,21.154,Други
рибен бульон,39,4.9,1.5,1.0,4.085,Други
Чили без боб консерви,283,18.1,17.0,14.6,8.383,Бобови
Минестроне супа,167,8.6,5.0,22.6,6.346,Други
супа от миди,154,4.4,4.4,24.5,13.253,Други
Доматна зеленчукова супа,54,1.9,0.8,9.9,4.983,Зеленчуци
Крем от оризов преврат,127,2.2,0.2,28.1,1.349,Други
Крем от супа от целина,181,3.3,11.2,17.7,7.215,Други
пилешка сос,188,4.6,13.6,12.9,1.89,Месо и месни продукти
Доматна оризова супа,240,4.2,5.5,44.1,37.172,Други
Зеленчуково говеждо супа,128,18.1,2.0,9.6,0.0,Зеленчуци
супа от юфка с доматено говеждо месо,281,8.9,8.6,42.3,6.427,Месо и месни продукти
Супа от стриди,118,4.2,7.7,8.2,7.392,Други
супа от рамен юфка суха,371,8.9,13.3,53.9,6.495,Други
супа от пилешка юфка,145,7.2,4.7,18.4,5.038,Месо и месни продукти
Пилешки буйлон сухо,11,0.7,0.6,0.7,0.411,Месо и месни продукти
Крем от супа от аспержи,174,4.6,8.2,21.5,9.123,Други
супа от пуешка юфка,139,7.8,4.0,17.3,4.373,Други
Крем от супа от скариди,181,5.6,10.4,16.5,1.489,Други
боб със супа от свинско месо,335,15.3,11.5,44.1,6.881,Месо и месни продукти
пилешки бульон,12,1.0,0.5,1.0,17.87,Месо и месни продукти
Прах от говеждо бульон,8,0.6,0.3,0.6,0.588,Други
Сплит грахова супа,180,9.7,2.3,29.9,2.82,Бобови
Ескаролна супа,61,3.4,4.0,4.0,16.418,Други
пилешки запас,86,6.0,2.9,8.5,4.868,Месо и месни продукти
Доматна биска супа,248,4.5,5.0,47.7,15.014,Други
Супа от акула перка,99,6.9,4.3,8.2,1.779,Други
лукова супа,113,7.5,3.5,16.4,4.54,Зеленчуци
пилешка супа от гумбо,113,5.3,2.9,16.8,14.165,Месо и месни продукти
Раци супа,95,10.4,0.8,12.5,12.563,Други
Трип супа,148,17.2,5.2,8.1,2.289,Други
Малка Индия Малък обяд,164,0.0,10.6,2.0,0.0,Други
Оригинален пилешки сандвич мацка a fil a,125,0.0,5.1,0.0,0.0,Месо и месни продукти
наденица McMuffin McDonalds,383,14.6,24.2,28.2,6.638,Месо и месни продукти
наденица McGriddles McDonalds,421,11.4,24.0,42.2,5.375,Месо и месни продукти
хрупкаво пилешко барабанно пръчка Кентъки пържено пиле,70,10.6,3.0,0.0,3.085,Месо и месни продукти
пилешки хрупкави барабани Кентъки пържено пиле,156,11.8,10.1,4.5,3.544,Месо и месни продукти
бисквити Кентъки пържено пиле,185,3.8,9.1,22.1,3.08,Месо и месни продукти
Английски Muffin McDonalds,97,5.7,2.3,2.9,170.24,Други
Fries Fries McDonalds,378,4.0,18.1,49.8,13.389,Други
HOTDOG,383,16.4,23.0,28.5,7.833,Други
пържени картофи бургер крал,207,2.4,9.2,28.6,5.811,Зеленчуци
Оригинално тако с говеждо сирене маруля Taco Bell,158,6.1,8.8,13.7,2.183,Млечни продукти
Hotdog с чили,296,13.5,13.4,31.3,7.551,Други
Пилешки хрупкави крила Кентъки пържено пиле,148,9.2,10.1,5.1,3.146,Месо и месни продукти
яйчен белтък Delight McDonalds,250,0.0,16.0,0.0,0.0,Други
Френски тост пръчки бургер крал,73,1.3,3.7,8.7,0.923,Други
McChicken McDonalds,358,13.7,17.3,36.6,5.934,Други
Начос Върховен тако камбана,480,14.8,26.6,45.0,4.749,Други
хрупкаво пилешко крило Кентъки пържено пиле,104,12.6,5.3,1.3,3.903,Месо и месни продукти
Пилешки ленти бургер крал,105,6.6,5.5,7.4,5.342,Месо и месни продукти
хрупкаво пилешко гърди Кентъки пържено пиле,214,38.2,6.7,0.4,18.565,Месо и месни продукти
Бисквита на колбаси McDonalds,440,11.3,29.7,31.8,7.578,Десерти и сладки
Burrito McDonalds наденица,339,13.0,17.1,24.2,4.885,Месо и месни продукти
Луковите пръстени пържени,27,0.3,1.6,2.8,0.623,Зеленчуци
лук пръстени бургер крал,379,3.5,23.0,39.7,6.963,Зеленчуци
пуешка баничка пържено,79,3.9,5.0,4.4,1.574,Други
горещи питки със сироп McDonalds,601,9.0,17.8,101.8,5.3,Други
хрупкаво пилешко бедро Кентъки пържено пиле,163,20.4,9.1,0.0,6.678,Месо и месни продукти
царевично куче,195,6.7,9.4,21.0,4.168,Други
Пилешка кутия McDonalds,70,0.2,4.0,5.5,0.0,Месо и месни продукти
potato wedges kentucky fried chicken,379,5.4,19.8,45.0,5.394,Други
бъркани яйца McDonalds,98,7.7,7.5,0.9,1.746,Други
Egg McMuffin McDonalds,287,17.2,12.2,27.3,8.338,Други
Начос Тако Бел,362,5.1,21.9,36.0,2.706,Други
Бисквити големи Макдоналдс,310,5.5,14.4,39.4,6.229,Други
хрупкаво пилешки ленти Кентъки пържено пиле,129,9.5,7.2,6.4,5.388,Месо и месни продукти
Hotcakes McDonalds,113,3.0,2.9,19.0,2.093,Други
пилешко хрупкаво гърди Кентъки пържено пиле,375,29.7,23.2,11.9,13.973,Месо и месни продукти
hotcakes sausage mcdonalds,776,15.5,34.9,102.4,8.004,Други
Пиле McNuggets McDonalds,48,2.5,3.2,2.4,1.72,Месо и месни продукти
чипс чипот,151,0.2,7.1,2.1,0.0,Снаксове
Бисквита Макдоналдс,261,4.7,12.2,33.3,5.241,Десерти и сладки
Ориз купа с пиле,36,1.6,0.4,6.4,1.965,Месо и месни продукти
spaghetti with meatballs,200,8.7,8.2,22.9,10.284,Други
Консервирани месни равиоли,259,8.9,8.9,36.0,5.58,Други
Сирене равиоли консерви,186,6.0,3.5,33.0,6.078,Млечни продукти
Премиум хрупкаво пилешко ранчо BLT Сандвич Макдоналдс,586,35.3,22.9,59.8,26.1,Месо и месни продукти
сандвич с пържола,459,30.3,14.1,52.0,14.942,Други
cheeseburger burger king,380,19.4,19.7,31.5,6.093,Други
cheeseburger mcdonalds,313,15.4,14.0,33.1,6.215,Други
Двоен чийзбургер,643,37.0,36.9,41.0,19.295,Други
Двоен хамбургер,942,52.1,58.6,51.4,19.595,Други
Premium Chicken Classic Classic Sandwich McDonalds,366,28.3,8.6,44.6,23.916,Други
Big N Tasty със сирене McDonalds,573,27.2,36.0,39.7,13.37,Млечни продукти
Premium Scriled Chicken Club Sandwich McDonalds,493,38.3,18.0,44.3,24.8,Други
Квартал Pounder McDonalds,417,24.1,19.8,37.9,10.081,Други
Премиум хрупкав пилешки класически сандвич McDonalds,524,27.8,20.0,58.6,21.9,Месо и месни продукти
Veggie Burger,124,11.0,4.4,10.0,8.634,Други
четвърт паундър със сирене McDonalds,513,29.0,28.3,39.7,10.468,Млечни продукти
говеждо сандвич пържола сурова,173,9.2,15.1,0.0,3.371,Други
Чийзбургер,292,15.0,13.2,28.7,7.303,Други
Premium Scriled Chicken Ranch BLT Sandwich McDonalds,412,33.7,10.9,44.3,25.0,Други
Двоен огромен с сирене бургер крал,1061,57.7,68.1,53.9,16.282,Млечни продукти
big mac mcdonalds,563,25.9,32.8,44.0,9.348,Други
сандвич със студени разфасовки,833,41.1,39.3,79.9,53.367,Други
filet o fish mcdonalds,378,15.1,19.6,35.4,5.685,Други
Пилешки оферти с ръчно панирани карлс младши,57,0.0,2.9,0.2,0.0,Месо и месни продукти
grilled chicken sandwich wendys,370,0.0,8.0,0.0,0.0,Други
sandwich with roast beef,410,28.6,13.0,44.3,13.598,Други
hamburger burger king,258,14.7,10.4,26.5,5.45,Други
Big N Tasty McDonalds,524,24.7,31.7,38.5,13.117,Други
Сандвич с печено говеждо месо,364,22.6,15.3,33.1,9.662,Месо и месни продукти
сандвич с печено говеждо месо със сирене,473,32.2,18.0,45.4,8.01,Млечни продукти
Хамбургер,255,12.9,9.9,28.7,5.856,Други
Premium Fish Sandwich Burger King,572,22.6,27.4,58.7,6.268,Други
Whopper Burger King,790,35.4,48.4,52.8,11.308,Други
sandwich with tuna salad,584,29.7,28.0,55.4,17.98,Други
Оригинален пилешки сандвич бургер крал,569,24.2,29.2,52.2,11.994,Месо и месни продукти
Двоен крал на бургер,942,52.1,58.6,51.4,15.523,Други
Премиум хрупкав пилешки клуб сандвич Макдоналдс,635,39.1,29.9,57.4,24.9,Месо и месни продукти
Хамбургер Макдоналдс,251,12.3,9.6,28.8,5.738,Други
Pepperoni Pizza Dominos,308,12.7,12.6,36.0,6.572,Други
Пица на колбаси,325,13.3,14.3,35.5,8.673,Други
Pepperoni Pizza,313,13.0,13.2,35.5,7.829,Други
Pepperoni Pizza Pizza Hut,269,12.3,10.9,30.3,5.897,Други
колиба за пица за пица,260,11.5,10.5,30.0,4.947,Други
сирене пица,285,12.2,10.4,35.7,7.504,Млечни продукти
cheese pizza dominos,278,11.7,9.7,35.9,6.884,Други
Месна зеленчукова пица,332,15.0,14.8,34.5,7.087,Зеленчуци
SUCKER RAW,146,26.6,3.7,0.0,3.727,Други
Северна щука RAW,348,76.3,2.7,0.0,29.128,Други
Хадок готвен,135,30.0,0.8,0.0,8.559,Други
Бърбот се готви,104,22.3,0.9,0.0,3.117,Други
Поллок се готви,356,75.3,3.8,0.0,15.33,Други
Rainbow Smend Raw,27,5.0,0.7,0.0,1.152,Други
Бели рибки се готви,265,37.7,11.6,0.0,8.309,Други
walleye pike raw,148,30.4,1.9,0.0,5.921,Други
"шаран, приготвен",275,38.9,12.2,0.0,8.666,Други
wolffish cooked,293,53.4,7.3,0.0,10.043,Други
snapper cooked,218,44.7,2.9,0.0,5.889,Други
Роу готвена,58,8.1,2.3,0.5,6.063,Други
Аншовия суров,37,5.8,1.4,0.0,4.704,Други
Херинга сурова,291,33.0,16.6,0.0,11.765,Други
COD RAW,189,41.1,1.5,0.0,10.226,Други
Тилапия сурова,111,23.3,2.0,0.0,6.127,Други
Уайтинг се готви,84,16.9,1.2,0.0,2.176,Други
Skipjack риба тон се готви,407,86.9,4.0,0.0,66.06,Риба и морски дарове
"сьомга, приготвена",733,78.7,44.0,0.0,55.6,Риба и морски дарове
CHUM сьомга се готви,474,79.5,14.9,0.0,31.562,Риба и морски дарове
Американски сенник готвен,363,31.3,25.4,0.0,18.204,Други
акула се готви,65,5.3,3.9,1.8,1.284,Други
Пъстърва приготвена,118,16.5,5.3,0.0,6.065,Риба и морски дарове
Сурова риба меч,196,26.7,9.0,0.0,14.872,Риба и морски дарове
"Дъгова пъстърва, приготвена",119,16.9,5.2,0.0,10.929,Риба и морски дарове
рибен сандвич със сирене,374,15.1,19.6,35.4,6.051,Млечни продукти
медузи изсушени,21,3.2,0.8,0.0,0.452,Други
mullet raw,139,23.0,4.5,0.0,10.643,Други
палто приготвен,353,71.7,5.1,0.0,31.392,Други
Lingcod Raw,213,44.2,2.7,0.0,8.079,Други
orange roughy cooked,30,6.4,0.3,0.0,1.284,Други
Cisco Raw,77,15.0,1.5,0.0,2.983,Други
Флорида Помпано готви,186,20.8,10.7,0.0,5.086,Други
Snapper Raw,218,44.7,2.9,0.0,9.099,Други
Рибен сандвич,565,22.6,27.4,58.7,10.7,Други
Haddock Raw,143,31.5,0.9,0.0,9.029,Други
Океан костур суров,51,9.8,1.0,0.0,1.815,Други
cuttlefish cooked,45,9.2,0.4,0.5,4.038,Други
COD приготвена,189,41.1,1.5,0.0,9.197,Други
SEATROUT RAW,248,39.8,8.6,0.0,9.224,Други
Плаващ суров,114,20.2,3.1,0.0,3.633,Други
"петно, приготвено",79,11.9,3.1,0.0,5.231,Други
Walleye Pike готви,148,30.4,1.9,0.0,5.564,Други
perch raw,55,11.6,0.6,0.0,2.925,Други
тиквено семе слънчеви риби сурови,43,9.3,0.3,0.0,1.872,Риба и морски дарове
Солен скумрия,415,25.2,34.1,0.0,8.88,Други
Макерел се готви,231,21.0,15.7,0.0,8.376,Други
Приготвена тилапия,111,22.8,2.3,0.0,5.702,Други
Барабан суров,236,34.7,9.8,0.0,9.4,Други
Atlantic Croaker Fried,192,15.8,11.0,6.6,4.686,Други
"тиквено семе слънчеви риби, приготвени",42,9.2,0.3,0.0,1.482,Риба и морски дарове
Wolffish Raw,294,53.6,7.3,0.0,10.636,Други
Bluefin риба тон се готви,276,44.9,9.4,0.0,20.796,Риба и морски дарове
Скуп се готви,68,12.1,1.8,0.0,3.329,Други
Херинга се готви,290,32.9,16.6,0.0,11.377,Други
синя рибка сурова,186,30.1,6.4,0.0,11.116,Други
Овчарче готви,234,48.4,3.0,0.0,5.939,Други
Бас готвен,91,15.0,2.9,0.0,2.973,Други
pout приготвен,279,58.4,3.2,0.0,8.956,Други
