age,weight,height,sex,goal,activity,recommended_diet,initial_weight,final_weight,duration_days,waist_before,waist_after,hips_before,hips_after,chest_before,chest_after,food_likes,food_dislikes,diet_type_used,satisfaction_level,success,estimated_lean_mass,calories_deficit,macro_protein,macro_fat,macro_carbs,food_intolerance
20,110.1,155,жена,поддържане,средна,растителен,109.7,110.1,99,79,73,116,114,114,105,"пилешко, ориз, риба","сирене, картофи",растителен,10,True,88.1,1712,118,73,170,
30,86.7,196,мъж,отслабване,висока,балансиран,82.3,86.7,98,78,77,98,96,98,88,"риба, яйца, зеленчуци","зеленчуци, сладко",балансиран,3,False,69.4,2107,147,54,209,
32,117.3,191,мъж,поддържане,ниска,нисковъглехидратен,112.4,117.3,42,95,91,103,95,95,92,"ориз, картофи, плодове","плодове, картофи",нисковъглехидратен,4,True,93.8,1906,132,73,261,
21,71.8,177,мъж,поддържане,висока,нисковъглехидратен,63.8,71.8,107,86,85,112,109,87,82,"пилешко, яйца, риба","тестени изделия, сладко",нисковъглехидратен,6,True,57.4,2261,92,58,216,
64,64.8,195,жена,поддържане,висока,високопротеинов,63.0,64.8,81,103,100,104,102,93,87,"ориз, пилешко, сирене","плодове, яйца",високопротеинов,6,True,51.8,2359,110,95,296,
56,73.9,176,мъж,качване,средна,нисковъглехидратен,73.9,73.9,74,84,82,113,108,82,72,"тестени изделия, ориз, сирене","ориз, тестени изделия",нисковъглехидратен,7,False,59.1,1835,91,54,170,
53,99.0,161,жена,отслабване,висока,високопротеинов,107.2,99.0,54,92,89,114,110,114,106,"риба, тестени изделия, пилешко","сирене, яйца",високопротеинов,7,True,79.2,2018,91,61,166,
19,50.3,198,жена,качване,висока,нисковъглехидратен,57.4,50.3,102,99,90,95,91,99,91,"яйца, сирене, картофи","сладко, яйца",нисковъглехидратен,2,False,40.2,1503,148,68,213,
41,71.2,162,жена,поддържане,средна,високопротеинов,65.9,71.2,67,85,75,96,92,87,80,"риба, сирене, пилешко","ориз, сладко",високопротеинов,1,True,57.0,2030,84,76,296,
42,97.0,196,мъж,отслабване,висока,растителен,87.1,97.0,63,97,94,114,113,95,90,"картофи, ориз, риба","зеленчуци, сирене",растителен,5,False,77.6,2234,144,68,262,
43,53.4,162,мъж,качване,висока,балансиран,57.7,53.4,77,106,96,104,100,95,90,"плодове, тестени изделия, яйца","сладко, тестени изделия",балансиран,3,False,42.7,1672,87,89,275,
25,112.4,179,мъж,качване,ниска,нисковъглехидратен,110.3,112.4,99,94,85,114,108,105,102,"яйца, риба, ориз","зеленчуци, риба",нисковъглехидратен,9,True,89.9,1810,141,69,242,
58,70.8,198,мъж,отслабване,висока,високопротеинов,76.8,70.8,76,98,88,109,104,102,96,"сирене, зеленчуци, тестени изделия","тестени изделия, ориз",високопротеинов,6,True,56.6,1895,91,88,292,
20,73.3,168,жена,поддържане,средна,балансиран,79.6,73.3,108,104,96,114,110,93,90,"тестени изделия, плодове, ориз","тестени изделия, плодове",балансиран,10,False,58.6,2217,130,68,206,
24,65.9,171,жена,отслабване,средна,растителен,59.9,65.9,104,86,82,98,89,84,81,"риба, яйца, плодове","пилешко, ориз",растителен,6,False,52.7,1744,145,60,207,
25,97.7,161,жена,отслабване,средна,растителен,105.2,97.7,108,103,94,115,106,103,101,"ориз, зеленчуци, сладко","плодове, пилешко",растителен,3,True,78.2,1632,99,96,187,
21,58.0,152,жена,отслабване,ниска,нисковъглехидратен,66.8,58.0,119,82,77,108,105,95,87,"зеленчуци, пилешко, тестени изделия","сладко, тестени изделия",нисковъглехидратен,6,True,46.4,1937,134,99,233,
31,113.2,173,мъж,поддържане,висока,балансиран,106.4,113.2,87,93,88,106,97,90,85,"сирене, зеленчуци, сладко","тестени изделия, картофи",балансиран,8,True,90.6,2206,115,68,298,
52,48.8,158,жена,отслабване,висока,растителен,55.4,48.8,72,107,101,111,108,93,86,"тестени изделия, плодове, сладко","тестени изделия, сирене",растителен,9,True,39.0,2305,118,59,297,
25,121.6,160,жена,качване,ниска,растителен,113.1,121.6,54,81,77,93,91,113,107,"яйца, зеленчуци, ориз","картофи, пилешко",растителен,9,True,97.3,2117,126,98,172,
23,112.3,181,жена,поддържане,средна,нисковъглехидратен,105.4,112.3,68,76,72,92,88,81,78,"ориз, пилешко, зеленчуци","пилешко, плодове",нисковъглехидратен,8,True,89.8,2150,92,83,171,
54,102.1,200,жена,качване,висока,балансиран,96.2,102.1,47,92,88,105,103,116,113,"тестени изделия, ориз, картофи","сирене, плодове",балансиран,6,True,81.7,2362,128,73,298,
46,68.2,170,жена,отслабване,средна,балансиран,73.4,68.2,78,85,84,92,90,91,86,"сладко, ориз, пилешко","риба, яйца",балансиран,2,True,54.6,2140,135,62,235,
22,66.8,173,жена,отслабване,висока,растителен,66.6,66.8,107,96,87,103,95,105,102,"сирене, зеленчуци, картофи","сладко, зеленчуци",растителен,2,False,53.4,1830,129,54,266,
45,101.1,197,мъж,качване,висока,балансиран,93.6,101.1,118,84,76,91,81,119,113,"пилешко, сладко, риба","сладко, картофи",балансиран,10,True,80.9,2054,105,100,292,
22,72.0,164,жена,поддържане,висока,високопротеинов,78.4,72.0,47,107,104,99,90,81,78,"сирене, ориз, зеленчуци","ориз, сирене",високопротеинов,10,False,57.6,1519,96,95,187,
65,92.9,183,мъж,поддържане,ниска,нисковъглехидратен,98.3,92.9,31,88,82,98,93,105,96,"сладко, риба, пилешко","яйца, зеленчуци",нисковъглехидратен,7,False,74.3,1646,90,88,158,
49,89.2,197,жена,поддържане,висока,растителен,93.7,89.2,36,104,99,100,98,87,79,"сирене, сладко, плодове","зеленчуци, ориз",растителен,4,False,71.4,1793,99,65,157,
32,70.7,180,мъж,отслабване,ниска,високопротеинов,72.2,70.7,52,90,87,96,87,102,94,"зеленчуци, яйца, тестени изделия","зеленчуци, риба",високопротеинов,5,True,56.6,2376,117,67,187,
27,113.6,164,мъж,качване,средна,балансиран,117.8,113.6,80,105,96,94,86,116,108,"ориз, плодове, тестени изделия","сирене, тестени изделия",балансиран,1,False,90.9,2001,128,90,200,
36,116.8,162,мъж,качване,ниска,балансиран,114.5,116.8,99,94,89,93,92,89,82,"картофи, риба, зеленчуци","пилешко, сладко",балансиран,1,True,93.4,2028,132,58,168,
46,56.9,169,мъж,поддържане,ниска,нисковъглехидратен,64.1,56.9,96,79,76,111,102,89,85,"тестени изделия, плодове, сладко","картофи, риба",нисковъглехидратен,9,False,45.5,2121,115,94,270,
49,86.1,196,мъж,поддържане,средна,нисковъглехидратен,92.3,86.1,101,97,96,113,109,108,104,"плодове, пилешко, картофи","плодове, пилешко",нисковъглехидратен,5,False,68.9,2306,115,81,177,
28,57.9,152,жена,качване,средна,високопротеинов,61.8,57.9,43,100,90,112,108,110,108,"яйца, сирене, риба","картофи, пилешко",високопротеинов,2,False,46.3,2136,113,86,293,
51,70.3,169,мъж,поддържане,средна,растителен,63.9,70.3,48,76,67,118,112,120,116,"сладко, картофи, ориз","тестени изделия, риба",растителен,5,True,56.2,1850,98,59,241,
21,81.6,195,мъж,отслабване,средна,нисковъглехидратен,87.2,81.6,36,71,67,107,104,84,77,"сладко, плодове, сирене","риба, сирене",нисковъглехидратен,8,True,65.3,2473,85,62,221,
50,80.6,195,мъж,качване,висока,растителен,77.5,80.6,109,96,90,90,85,99,90,"ориз, тестени изделия, яйца","сирене, риба",растителен,3,True,64.5,1593,143,57,288,
51,100.1,178,жена,качване,средна,нисковъглехидратен,90.5,100.1,61,98,97,104,101,115,111,"сладко, пилешко, сирене","тестени изделия, плодове",нисковъглехидратен,10,True,80.1,2432,149,62,299,
24,114.0,198,мъж,качване,висока,балансиран,108.8,114.0,75,94,86,97,87,110,107,"тестени изделия, сладко, сирене","картофи, сирене",балансиран,8,True,91.2,1619,122,85,198,
55,63.4,166,мъж,поддържане,ниска,високопротеинов,69.8,63.4,94,77,67,117,111,107,97,"пилешко, сладко, риба","ориз, пилешко",високопротеинов,8,False,50.7,1508,109,62,231,
49,67.3,174,жена,отслабване,ниска,високопротеинов,66.0,67.3,56,86,84,113,106,105,99,"пилешко, картофи, тестени изделия","зеленчуци, пилешко",високопротеинов,1,False,53.8,1778,111,76,156,
55,84.0,162,мъж,поддържане,средна,растителен,84.9,84.0,78,94,87,91,82,113,105,"ориз, картофи, зеленчуци","сладко, плодове",растителен,4,False,67.2,2371,112,97,210,
27,65.0,185,мъж,поддържане,ниска,растителен,62.4,65.0,109,81,80,100,99,106,104,"картофи, зеленчуци, яйца","пилешко, ориз",растителен,2,True,52.0,2457,105,52,257,
54,79.1,163,жена,качване,ниска,високопротеинов,72.0,79.1,88,75,67,115,106,104,98,"плодове, зеленчуци, ориз","сирене, зеленчуци",високопротеинов,9,True,63.3,1731,92,64,190,
64,67.4,181,жена,отслабване,висока,високопротеинов,66.5,67.4,104,97,87,116,113,94,86,"плодове, риба, пилешко","риба, зеленчуци",високопротеинов,2,False,53.9,2237,97,83,282,
61,85.7,169,жена,качване,ниска,нисковъглехидратен,83.8,85.7,34,85,78,109,103,95,87,"риба, зеленчуци, плодове","ориз, яйца",нисковъглехидратен,4,True,68.6,2075,81,57,291,
65,68.2,177,жена,отслабване,висока,растителен,77.8,68.2,85,104,101,104,96,94,85,"пилешко, риба, сирене","ориз, яйца",растителен,10,True,54.6,1858,88,97,253,
20,115.3,197,жена,качване,средна,растителен,118.8,115.3,61,73,69,106,96,96,91,"тестени изделия, картофи, сирене","яйца, тестени изделия",растителен,7,False,92.2,2075,127,72,196,
49,101.7,197,мъж,отслабване,средна,балансиран,100.5,101.7,39,75,66,105,101,97,89,"яйца, картофи, ориз","яйца, картофи",балансиран,9,False,81.4,1834,145,95,288,
30,82.7,158,мъж,поддържане,средна,растителен,79.0,82.7,69,73,67,105,99,90,81,"сладко, плодове, сирене","картофи, пилешко",растителен,4,True,66.2,1677,108,52,223,
24,73.3,152,мъж,качване,средна,балансиран,77.3,73.3,70,107,99,92,84,111,110,"риба, тестени изделия, картофи","пилешко, сладко",балансиран,5,False,58.6,2296,139,77,190,
22,83.2,188,жена,качване,висока,балансиран,80.1,83.2,30,83,73,105,101,110,107,"сладко, сирене, тестени изделия","сирене, пилешко",балансиран,6,True,66.6,2161,108,75,189,
47,63.3,176,жена,поддържане,средна,растителен,60.2,63.3,76,108,100,120,116,93,83,"зеленчуци, картофи, пилешко","картофи, риба",растителен,7,True,50.6,1860,110,92,170,
51,95.0,181,мъж,отслабване,ниска,високопротеинов,97.6,95.0,93,76,74,119,110,98,95,"плодове, картофи, ориз","тестени изделия, плодове",високопротеинов,8,True,76.0,2081,129,96,215,
41,100.6,185,жена,поддържане,ниска,балансиран,101.0,100.6,49,96,87,117,109,87,85,"тестени изделия, плодове, сирене","сирене, зеленчуци",балансиран,2,False,80.5,2345,90,92,227,
53,60.7,172,мъж,поддържане,ниска,високопротеинов,60.7,60.7,68,82,74,92,91,84,77,"ориз, картофи, тестени изделия","ориз, плодове",високопротеинов,10,False,48.6,2337,130,68,192,
59,101.5,199,мъж,качване,висока,нисковъглехидратен,109.2,101.5,88,95,89,112,111,102,95,"тестени изделия, пилешко, сирене","сирене, сладко",нисковъглехидратен,7,False,81.2,2277,148,90,262,
40,98.9,187,жена,качване,ниска,растителен,91.6,98.9,55,82,79,109,100,87,77,"картофи, риба, зеленчуци","тестени изделия, сирене",растителен,9,True,79.1,1597,119,92,189,
65,114.2,167,мъж,отслабване,висока,високопротеинов,115.7,114.2,90,101,92,99,92,86,78,"тестени изделия, плодове, зеленчуци","картофи, риба",високопротеинов,10,True,91.4,1775,115,69,205,
24,71.4,158,мъж,качване,висока,нисковъглехидратен,74.8,71.4,40,79,76,112,102,99,95,"яйца, ориз, риба","плодове, тестени изделия",нисковъглехидратен,10,False,57.1,1938,135,65,152,
44,109.7,150,мъж,отслабване,висока,високопротеинов,113.0,109.7,98,70,61,106,103,92,83,"зеленчуци, картофи, пилешко","зеленчуци, плодове",високопротеинов,7,True,87.8,2363,114,86,295,
58,94.0,181,жена,качване,средна,високопротеинов,103.9,94.0,48,77,75,99,96,106,96,"яйца, пилешко, сладко","сладко, пилешко",високопротеинов,1,False,75.2,2221,126,95,247,
18,87.0,195,мъж,поддържане,висока,високопротеинов,94.6,87.0,37,84,80,110,107,99,90,"риба, пилешко, ориз","яйца, риба",високопротеинов,4,False,69.6,2319,150,62,277,
21,86.5,194,мъж,отслабване,ниска,високопротеинов,82.9,86.5,39,89,87,92,84,100,98,"картофи, риба, ориз","картофи, зеленчуци",високопротеинов,9,False,69.2,1657,102,63,206,
18,65.4,179,мъж,качване,висока,високопротеинов,62.0,65.4,80,98,90,90,88,90,81,"сладко, плодове, тестени изделия","зеленчуци, пилешко",високопротеинов,10,True,52.3,1906,134,53,296,
38,93.7,177,жена,поддържане,ниска,високопротеинов,97.3,93.7,93,90,82,107,103,90,82,"сирене, плодове, сладко","плодове, зеленчуци",високопротеинов,5,False,75.0,2417,127,64,263,
35,79.3,169,жена,отслабване,висока,високопротеинов,71.7,79.3,50,86,77,112,104,113,105,"тестени изделия, зеленчуци, ориз","яйца, риба",високопротеинов,2,False,63.4,2223,90,62,232,
53,69.9,178,мъж,поддържане,средна,растителен,79.4,69.9,108,87,83,116,113,90,82,"зеленчуци, сирене, ориз","тестени изделия, ориз",растителен,3,False,55.9,1565,120,78,266,
41,55.8,188,мъж,поддържане,ниска,високопротеинов,59.5,55.8,36,99,98,103,97,116,114,"картофи, плодове, пилешко","сирене, риба",високопротеинов,5,False,44.6,2274,105,61,220,
30,107.2,193,мъж,качване,ниска,балансиран,109.4,107.2,57,94,84,97,95,85,76,"плодове, пилешко, яйца","зеленчуци, ориз",балансиран,6,False,85.8,2341,121,78,184,
22,50.4,189,жена,качване,средна,високопротеинов,58.8,50.4,60,86,83,118,115,91,86,"сладко, зеленчуци, плодове","ориз, плодове",високопротеинов,5,False,40.3,2077,125,88,229,
36,79.4,159,мъж,поддържане,ниска,растителен,87.3,79.4,115,106,97,109,106,89,79,"сирене, яйца, картофи","картофи, ориз",растителен,5,False,63.5,1994,137,69,206,
41,95.7,151,жена,отслабване,ниска,растителен,104.9,95.7,35,99,96,111,103,113,109,"сладко, ориз, тестени изделия","сладко, зеленчуци",растителен,3,True,76.6,2006,103,72,157,
39,59.6,167,мъж,качване,средна,високопротеинов,63.1,59.6,39,80,78,99,95,120,119,"тестени изделия, яйца, зеленчуци","сладко, зеленчуци",високопротеинов,10,False,47.7,2123,144,68,168,
24,117.2,176,жена,качване,ниска,високопротеинов,119.7,117.2,100,96,93,105,95,110,102,"риба, тестени изделия, ориз","ориз, риба",високопротеинов,7,False,93.8,2094,80,85,213,
54,126.4,189,жена,поддържане,средна,нисковъглехидратен,119.2,126.4,108,90,88,92,85,92,84,"ориз, яйца, картофи","риба, яйца",нисковъглехидратен,6,True,101.1,2488,142,97,267,
29,69.6,166,жена,отслабване,ниска,растителен,63.9,69.6,100,95,86,118,110,95,93,"сладко, сирене, ориз","сирене, сладко",растителен,3,False,55.7,1797,133,94,271,
43,80.0,160,мъж,качване,ниска,растителен,80.1,80.0,38,74,71,97,92,86,84,"риба, ориз, зеленчуци","ориз, яйца",растителен,1,False,64.0,2014,125,98,161,
27,80.0,183,жена,качване,ниска,балансиран,73.7,80.0,53,99,92,95,94,103,95,"сирене, плодове, картофи","ориз, яйца",балансиран,6,True,64.0,2345,98,74,252,
48,114.6,174,жена,качване,средна,растителен,119.3,114.6,75,85,82,120,115,85,75,"риба, зеленчуци, плодове","тестени изделия, яйца",растителен,7,False,91.7,2081,111,98,265,
54,122.1,150,жена,отслабване,средна,растителен,116.5,122.1,41,107,103,97,89,84,74,"яйца, тестени изделия, плодове","яйца, пилешко",растителен,2,False,97.7,1788,96,84,164,
33,92.9,198,мъж,качване,висока,балансиран,83.4,92.9,115,84,83,91,81,94,92,"пилешко, риба, картофи","пилешко, яйца",балансиран,6,True,74.3,1979,149,89,291,
41,93.6,153,мъж,качване,висока,високопротеинов,101.2,93.6,75,94,87,105,102,89,84,"тестени изделия, плодове, яйца","сладко, картофи",високопротеинов,3,False,74.9,2253,91,80,198,
54,83.6,178,жена,отслабване,висока,нисковъглехидратен,93.3,83.6,89,77,67,111,105,111,103,"картофи, яйца, сирене","зеленчуци, тестени изделия",нисковъглехидратен,1,True,66.9,1651,124,79,273,
57,85.6,174,жена,качване,средна,растителен,81.1,85.6,52,106,100,114,111,117,116,"сладко, сирене, ориз","сирене, зеленчуци",растителен,5,True,68.5,1694,96,66,225,
55,123.3,162,мъж,поддържане,ниска,високопротеинов,118.2,123.3,74,96,90,90,81,100,96,"картофи, сладко, пилешко","сладко, ориз",високопротеинов,4,True,98.6,1728,125,96,242,
49,62.2,185,жена,отслабване,висока,балансиран,63.4,62.2,62,92,90,112,102,113,108,"зеленчуци, тестени изделия, сладко","тестени изделия, ориз",балансиран,3,True,49.8,1936,99,64,277,
64,93.8,192,жена,поддържане,средна,високопротеинов,94.6,93.8,69,95,90,100,98,102,92,"картофи, пилешко, тестени изделия","картофи, сладко",високопротеинов,6,False,75.0,2192,89,85,268,
34,55.4,190,мъж,поддържане,висока,балансиран,57.9,55.4,85,93,85,120,116,113,112,"риба, сладко, зеленчуци","зеленчуци, яйца",балансиран,1,False,44.3,2437,147,89,297,
50,74.2,152,мъж,качване,ниска,високопротеинов,71.8,74.2,75,104,99,104,98,105,104,"плодове, сирене, риба","сладко, плодове",високопротеинов,5,True,59.4,1800,149,81,173,
49,74.2,165,мъж,отслабване,ниска,нисковъглехидратен,80.6,74.2,92,99,90,110,100,114,112,"сладко, ориз, яйца","зеленчуци, пилешко",нисковъглехидратен,1,True,59.4,2330,123,73,299,
65,99.7,152,жена,отслабване,средна,високопротеинов,96.1,99.7,119,73,69,118,116,88,78,"яйца, сладко, сирене","ориз, картофи",високопротеинов,4,False,79.8,1608,123,78,277,
24,101.0,174,мъж,качване,средна,балансиран,107.8,101.0,96,98,89,108,103,103,93,"плодове, ориз, зеленчуци","плодове, картофи",балансиран,6,False,80.8,1689,99,51,299,
38,53.3,183,мъж,отслабване,средна,високопротеинов,61.5,53.3,66,91,88,117,112,107,102,"плодове, зеленчуци, картофи","зеленчуци, ориз",високопротеинов,7,True,42.6,1988,134,70,254,
26,58.1,180,мъж,качване,ниска,растителен,66.8,58.1,100,95,91,95,85,111,110,"пилешко, зеленчуци, плодове","картофи, сирене",растителен,5,False,46.5,2104,141,61,204,
27,66.8,184,мъж,поддържане,средна,високопротеинов,65.2,66.8,36,79,71,99,96,108,102,"риба, картофи, зеленчуци","пилешко, яйца",високопротеинов,7,True,53.4,1931,131,97,221,
46,71.7,176,мъж,качване,висока,нисковъглехидратен,67.3,71.7,57,102,96,95,87,111,107,"ориз, зеленчуци, яйца","сирене, яйца",нисковъглехидратен,8,True,57.4,2057,112,56,259,
54,114.6,159,мъж,поддържане,средна,балансиран,118.9,114.6,38,80,72,97,91,88,86,"сирене, яйца, пилешко","плодове, картофи",балансиран,5,False,91.7,2166,93,61,225,
31,92.3,152,мъж,поддържане,висока,високопротеинов,99.4,92.3,63,95,86,96,87,108,99,"сирене, пилешко, зеленчуци","яйца, плодове",високопротеинов,7,False,73.8,2219,132,82,300,
58,125.8,185,мъж,отслабване,ниска,нисковъглехидратен,118.7,125.8,81,84,79,116,106,100,98,"плодове, сладко, зеленчуци","яйца, сладко",нисковъглехидратен,5,False,100.6,1719,127,63,243,
55,104.4,174,мъж,поддържане,ниска,високопротеинов,104.1,104.4,103,88,80,111,109,117,107,"сирене, зеленчуци, риба","картофи, ориз",високопротеинов,1,True,83.5,2119,134,57,200,
36,94.7,181,жена,качване,ниска,растителен,95.4,94.7,96,88,87,93,88,102,100,"яйца, сирене, тестени изделия","риба, картофи",растителен,9,False,75.8,1899,109,77,171,
35,71.6,164,жена,качване,средна,балансиран,62.5,71.6,67,77,68,116,114,101,92,"ориз, тестени изделия, картофи","картофи, сирене",балансиран,3,True,57.3,2435,91,73,172,
21,85.9,150,жена,отслабване,висока,балансиран,92.7,85.9,94,70,64,102,95,107,105,"ориз, яйца, зеленчуци","картофи, риба",балансиран,5,True,68.7,2316,126,50,246,
28,79.2,184,жена,качване,средна,високопротеинов,71.6,79.2,85,73,64,102,98,98,97,"ориз, сладко, плодове","картофи, сирене",високопротеинов,5,True,63.4,1945,119,65,157,
51,105.8,173,жена,поддържане,средна,растителен,102.6,105.8,103,75,65,92,90,111,108,"тестени изделия, ориз, сирене","зеленчуци, сирене",растителен,8,True,84.6,1893,105,62,169,
22,110.0,187,мъж,поддържане,висока,нисковъглехидратен,116.7,110.0,112,101,93,98,88,83,79,"зеленчуци, сладко, плодове","ориз, сирене",нисковъглехидратен,1,False,88.0,2325,147,79,268,
50,107.4,199,жена,качване,висока,растителен,101.1,107.4,46,108,107,110,102,103,98,"тестени изделия, плодове, картофи","сладко, тестени изделия",растителен,9,True,85.9,1768,143,80,269,
26,78.9,196,мъж,качване,висока,нисковъглехидратен,82.8,78.9,66,75,71,95,86,111,105,"сирене, сладко, картофи","картофи, ориз",нисковъглехидратен,6,False,63.1,1729,138,82,242,
47,76.8,194,жена,качване,средна,растителен,81.4,76.8,90,94,84,91,87,114,113,"сирене, картофи, зеленчуци","ориз, сирене",растителен,6,False,61.4,2029,129,83,225,
32,114.5,181,жена,отслабване,средна,високопротеинов,118.0,114.5,38,103,101,112,102,112,108,"тестени изделия, пилешко, сладко","пилешко, тестени изделия",високопротеинов,2,True,91.6,1723,115,93,220,
57,62.7,196,мъж,отслабване,висока,растителен,66.0,62.7,65,109,106,109,99,96,94,"риба, ориз, сирене","пилешко, зеленчуци",растителен,3,True,50.2,1511,104,64,160,
40,113.6,176,мъж,отслабване,ниска,високопротеинов,108.9,113.6,101,85,80,100,94,113,104,"сирене, зеленчуци, тестени изделия","тестени изделия, сладко",високопротеинов,3,False,90.9,2151,99,72,226,
42,108.5,172,мъж,отслабване,средна,растителен,101.5,108.5,66,94,91,115,109,99,93,"тестени изделия, сладко, ориз","риба, сирене",растителен,1,False,86.8,2143,112,65,238,
34,109.4,164,жена,поддържане,средна,балансиран,118.8,109.4,65,102,94,101,95,109,99,"плодове, пилешко, яйца","картофи, риба",балансиран,7,False,87.5,1783,83,69,222,
59,70.4,159,жена,поддържане,средна,растителен,73.3,70.4,118,76,74,118,110,91,82,"яйца, плодове, зеленчуци","зеленчуци, картофи",растителен,6,False,56.3,2430,147,77,260,
21,80.6,179,жена,отслабване,висока,нисковъглехидратен,73.6,80.6,90,78,75,115,107,119,114,"сирене, плодове, зеленчуци","пилешко, картофи",нисковъглехидратен,7,False,64.5,1679,91,84,178,
20,113.7,164,жена,качване,ниска,нисковъглехидратен,119.6,113.7,92,108,101,110,103,114,110,"ориз, яйца, сладко","плодове, ориз",нисковъглехидратен,10,False,91.0,1758,113,83,294,
28,51.8,181,жена,отслабване,ниска,растителен,59.5,51.8,30,98,97,97,93,86,84,"пилешко, зеленчуци, картофи","плодове, пилешко",растителен,5,True,41.4,2468,104,83,191,
53,106.2,190,жена,отслабване,средна,нисковъглехидратен,112.7,106.2,72,79,73,92,90,98,88,"тестени изделия, риба, ориз","сирене, риба",нисковъглехидратен,6,True,85.0,1879,129,91,164,
18,105.6,183,жена,поддържане,висока,балансиран,99.5,105.6,66,108,103,116,114,118,113,"пилешко, плодове, ориз","тестени изделия, картофи",балансиран,9,True,84.5,1704,102,53,151,
52,113.5,171,жена,отслабване,висока,високопротеинов,116.2,113.5,80,70,69,119,115,119,115,"зеленчуци, плодове, риба","яйца, ориз",високопротеинов,10,True,90.8,1694,83,64,269,
63,71.1,197,жена,поддържане,средна,растителен,64.6,71.1,100,88,82,119,118,93,84,"плодове, картофи, сладко","пилешко, зеленчуци",растителен,4,True,56.9,2309,144,69,232,
56,57.2,160,жена,поддържане,висока,растителен,62.9,57.2,114,94,88,106,103,91,90,"сладко, зеленчуци, яйца","сирене, пилешко",растителен,6,False,45.8,2009,95,54,275,
38,84.4,192,мъж,качване,средна,растителен,76.6,84.4,93,108,102,114,113,81,71,"сладко, риба, сирене","плодове, яйца",растителен,10,True,67.5,1539,146,59,221,
60,67.4,157,жена,отслабване,висока,растителен,60.1,67.4,78,104,100,115,107,93,86,"сирене, картофи, зеленчуци","ориз, сладко",растителен,3,False,53.9,2265,133,81,254,
32,117.7,178,мъж,поддържане,средна,балансиран,110.8,117.7,33,77,75,90,86,80,71,"риба, картофи, яйца","тестени изделия, картофи",балансиран,1,True,94.2,1804,111,88,192,
24,101.8,158,мъж,поддържане,ниска,нисковъглехидратен,92.0,101.8,37,97,88,110,109,115,110,"ориз, зеленчуци, плодове","сладко, зеленчуци",нисковъглехидратен,2,True,81.4,2317,103,93,164,
41,101.4,195,жена,отслабване,висока,нисковъглехидратен,97.2,101.4,73,81,76,112,111,83,82,"тестени изделия, риба, яйца","пилешко, тестени изделия",нисковъглехидратен,9,False,81.1,2450,89,73,185,
20,111.6,171,мъж,поддържане,средна,балансиран,106.9,111.6,76,93,84,95,87,106,101,"сирене, пилешко, тестени изделия","картофи, пилешко",балансиран,4,True,89.3,2231,102,53,292,
31,53.1,164,мъж,поддържане,средна,високопротеинов,56.7,53.1,118,75,67,90,87,92,83,"сирене, яйца, риба","зеленчуци, яйца",високопротеинов,5,False,42.5,2144,93,96,164,
