food_name,Unnamed: 0.1,Unnamed: 0,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
Фиг,16,16,37,0.2,0.068,0.008,0.078,9.6,8.1,0.4,1.5,0.0,0.049,39.6,0.0,0.043,0.046,0.0,0.03,0.2,0.2,0.083,1.0,0.0,0.001,0.027,17.5,0.079,0.2,8.5,0.024,7.0,116.0,0.083,0.06,30.4
Клементин,17,17,35,0.1,0.0,0.0,0.0,8.9,6.8,0.6,1.3,0.0,0.044,64.1,0.0,0.0,0.052,0.063,0.0,0.06,0.5,0.1,0.018,36.1,0.0,0.1,0.0,22.2,0.093,0.1,7.4,0.035,15.5,131.0,0.0,10.954
Оранжево,18,18,86,0.2,0.008,0.099,0.005,21.6,17.2,1.7,4.4,0.0,0.0,159.6,0.0,0.0,0.2,0.08,0.0,0.089,0.5,0.5,0.1,97.9,0.0,0.3,0.0,73.6,0.094,0.2,18.4,0.057,25.8,333.0,0.035,28.073
Bartlett Pear,19,19,112,0.3,0.0,0.0,0.0,26.6,17.2,0.7,5.5,0.0,0.047,148.9,0.0,0.051,0.023,0.0,0.018,0.3,0.04,0.01,7.8,0.0,0.2,0.028,15.9,0.1,0.3,10.6,0.091,19.5,178.8,0.044,0.1,57.1
Червено бяло касис,20,20,63,0.2,0.043,0.091,0.089,15.5,8.3,1.6,4.8,0.0,0.056,94.0,0.0,0.03,0.016,0.0,0.059,0.1,0.06,0.062,45.9,0.0,0.1,0.093,37.0,0.1,1.1,14.6,0.2,49.3,308.0,0.079,0.3,106.1
боровинки,21,21,84,0.5,0.047,0.043,0.2,21.4,14.7,1.1,3.6,0.0,0.015,124.6,0.0,0.0,0.086,0.074,0.0,0.016,0.6,0.2,0.058,14.4,0.0,0.8,0.041,8.9,0.063,0.4,8.9,0.5,17.8,114.0,0.027,26.767
Мълъри,22,22,6,0.049,0.004,0.016,0.065,1.5,1.2,0.2,0.3,0.0,0.021,13.2,0.0,0.0,0.005,0.092,0.0,0.075,0.013,0.0,0.025,5.5,0.0,0.1,0.074,5.9,0.041,0.3,2.7,0.0,5.7,29.1,0.083,2.163
Java Plum,23,23,2,0.029,0.0,0.0,0.0,0.5,0.0,0.034,0.0,0.0,0.063,2.5,0.0,0.051,0.0,0.0,0.058,0.042,0.0,0.075,0.4,0.0,0.0,0.0,0.6,0.0,0.054,0.5,0.0,0.5,2.4,0.0,0.0,1.624
Пюре от сини сливи,24,24,46,0.02,0.038,0.0,0.0,11.7,7.0,0.4,0.6,0.0,0.036,5.4,0.0,0.0,0.053,0.0,0.0,0.0,0.5,0.057,0.0,0.8,0.0,0.0,0.0,5.6,0.0,0.5,0.0,0.0,13.0,153.4,0.0,12.709
Applesauce,25,25,102,0.2,0.028,0.036,0.09,27.5,22.9,0.4,2.7,0.0,0.031,215.3,0.0,0.0,0.07,0.029,0.0,0.085,0.2,0.1,0.08,2.4,0.0,0.4,0.043,9.8,0.014,0.6,7.3,0.074,12.2,180.6,0.007,30.923
къпини сурови,26,26,62,0.7,0.076,0.03,0.4,13.8,7.0,2.0,7.6,0.0,0.05,126.9,0.0,0.03,0.045,0.0,0.054,0.9,0.4,0.037,30.2,0.0,1.7,0.082,41.8,0.2,0.9,28.8,0.9,31.7,233.3,0.008,0.8,97.0
слива,27,27,30,0.2,0.062,0.003,0.022,7.5,6.5,0.5,0.9,0.0,0.0,57.6,0.0,0.0,0.077,0.036,0.0,0.021,0.3,0.033,0.038,6.3,0.0,0.2,0.047,4.0,0.056,0.1,4.6,0.016,10.6,103.6,0.0,9.21
Американско грозде,28,28,2,0.087,0.029,0.082,0.074,0.4,0.4,0.035,0.09,0.0,0.056,2.0,0.0,0.06,0.049,0.0,0.025,0.045,0.05,0.061,0.032,0.0,0.027,0.052,0.3,0.094,0.099,0.1,0.1,0.2,4.6,0.03,0.091,0.93
праскова,29,29,59,0.4,0.034,0.1,0.1,14.3,12.6,1.4,2.3,0.0,0.0,133.3,0.0,0.0,0.035,0.004,0.0,0.06,1.2,0.2,0.075,9.9,0.0,1.1,0.042,9.0,0.1,0.4,13.5,0.03,30.0,285.0,0.069,18.643
Меден пъпеш,30,30,64,0.2,0.055,0.049,0.1,16.1,14.4,1.0,1.4,0.0,0.062,159.0,0.0,0.092,0.052,0.0,0.066,0.7,0.3,0.2,31.9,0.0,0.043,0.083,10.6,0.007,0.3,17.7,0.003,19.5,403.6,0.099,0.2,61.5
Жълт плантанов пържен,31,31,399,12.7,3.1,3.9,3.8,68.9,36.8,2.4,5.4,0.0,0.079,82.9,0.0,0.1,0.0,0.0,0.061,1.4,1.0,0.5,0.0,0.0,1.9,0.05,10.1,0.2,1.0,76.1,0.5,72.7,856.8,0.077,0.4,100.5
Розови бедрата,32,32,206,0.4,0.0,0.0,0.0,48.5,3.3,2.0,30.6,0.0,0.035,74.5,0.0,0.048,0.085,0.0,0.2,1.7,1.0,0.078,541.0,0.0,7.4,0.05,214.6,0.1,1.3,87.6,1.3,77.5,544.8,0.0,0.3,838.4
лимони,33,33,17,0.2,0.063,0.046,0.031,5.4,1.5,0.6,1.6,0.0,0.045,51.6,0.0,0.085,0.023,0.0,0.066,0.056,0.1,0.085,30.7,0.0,0.075,0.0,15.1,0.09,0.3,4.6,0.036,9.3,80.0,0.044,0.065,53.9
вар,34,34,20,0.1,0.087,0.002,0.095,7.1,1.1,0.5,1.9,0.0,0.082,59.1,0.0,0.067,0.07,0.0,0.034,0.1,0.1,0.055,19.5,0.0,0.1,0.085,22.1,0.052,0.4,4.0,0.013,12.1,68.3,0.076,0.011,51.6
нар,35,35,117,1.6,0.2,0.1,0.1,26.4,19.3,2.4,5.6,0.0,0.042,109.9,0.0,0.0,0.008,0.059,0.0,0.004,0.4,0.5,0.1,14.4,0.0,0.8,0.066,14.1,0.2,0.4,16.9,0.2,50.8,332.8,0.09,36.33
Гъбешки,36,36,66,0.9,0.001,0.06,0.5,15.3,0.0,1.3,6.5,0.0,0.074,131.8,0.0,0.0,0.068,0.084,0.0,0.007,0.5,0.4,0.1,41.6,0.0,0.6,0.0,37.5,0.1,0.5,15.0,0.2,40.5,297.0,0.097,24.2
Азиатска круша,37,37,51,0.3,0.009,0.091,0.091,13.0,8.6,0.6,4.4,0.0,0.0,107.7,0.0,0.1,0.071,0.0,0.073,0.3,0.05,0.079,4.6,0.0,0.1,0.059,4.9,0.067,0.0,9.8,0.01,13.4,147.6,0.015,0.041,27.8
Abiyuch,38,38,157,0.2,0.065,0.0,0.0,40.1,19.5,3.4,12.1,0.0,0.093,182.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.3,0.0,0.0,0.0,18.2,0.1,3.7,54.7,0.4,107.2,693.1,0.0,0.7,201.0
Рогат пъпеш Кивано,39,39,92,2.6,0.0,0.0,0.0,15.8,0.0,3.7,0.0,0.0,0.095,185.9,0.0,0.042,0.04,0.0,0.016,1.2,0.4,0.1,11.1,0.0,0.0,0.0,27.2,0.043,2.4,83.6,0.043,77.3,257.1,0.0,1.0,62.8
Салата от плодови орехи McDonalds,40,40,312,13.3,1.8,2.1,8.5,43.8,32.9,4.8,0.0,5.3,0.017,200.5,0.0,0.1,0.061,0.041,0.1,0.3,0.4,0.3,383.6,0.0,0.0,0.0,171.6,0.3,0.9,34.3,0.0,129.4,0.0,0.0,0.7,618.0
грейпфрут,41,41,53,0.2,0.092,0.048,0.006,13.3,8.6,1.0,2.0,0.0,0.0,110.1,0.0,0.0,0.051,0.01,0.0,0.032,0.3,0.3,0.027,39.0,0.0,0.2,0.0,27.5,0.087,0.1,11.3,0.067,22.5,168.8,0.032,16.592
Японска хурма,42,42,118,0.3,0.089,0.077,0.086,31.2,21.1,1.0,6.0,0.0,0.067,134.9,0.0,0.0,0.063,0.018,0.0,0.027,0.2,0.0,0.2,12.6,0.0,1.2,0.066,13.4,0.2,0.3,15.1,0.6,28.6,270.5,0.024,38.927
Диви малини,43,43,81,0.4,0.0,0.0,0.0,18.0,7.2,1.5,9.8,0.0,0.09,109.8,0.0,0.091,0.023,0.0,0.1,1.3,0.4,0.1,34.3,0.0,0.7,0.071,46.8,0.1,0.8,33.8,0.5,53.3,227.5,0.0,0.6,111.6
Pink Lady Apple,44,44,18,0.1,0.0,0.0,0.0,3.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
Марашино череши,45,45,8,0.083,0.06,0.015,0.033,2.1,1.9,0.06,0.2,0.0,0.072,2.9,0.0,0.0,0.0,0.0,0.0,0.06,0.088,0.017,0.0,0.0,0.069,0.068,2.7,0.089,0.091,0.2,0.063,0.2,1.1,0.018,0.031,5.19
Черни касис,46,46,71,0.5,0.019,0.081,0.2,17.2,0.0,1.6,0.0,0.0,0.075,91.8,0.0,0.01,0.0,0.0,0.096,0.3,0.4,0.016,202.7,0.0,1.1,0.0,61.6,0.015,1.7,26.9,0.3,66.1,360.6,0.0,0.3,285.3
Плантайн се готви,47,47,179,0.3,0.1,0.02,0.052,48.0,21.6,1.2,3.5,0.0,0.079,103.6,0.0,0.064,0.005,0.0,0.036,1.2,0.4,0.4,16.8,0.0,0.2,0.024,3.1,0.1,0.9,49.3,0.0,43.1,716.1,0.087,0.2,73.8
раци ябълка,48,48,84,0.3,0.064,0.022,0.018,21.9,0.0,0.4,0.0,0.0,0.03,86.8,0.0,0.055,0.0,0.0,0.077,0.1,0.0,0.0,8.8,0.0,0.0,0.0,19.8,0.069,0.4,7.7,0.1,16.5,213.4,0.0,0.0,51.6
Pom Potes Materne,49,49,19,0.2,0.2,4.8,3.8,0.2,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Apple,50,50,95,0.3,0.043,0.002,0.094,25.1,18.9,0.5,4.4,0.0,0.062,155.7,0.0,0.0,0.094,0.03,0.0,0.084,0.2,0.1,0.03,8.4,0.0,0.3,0.044,10.9,0.086,0.2,9.1,0.01,20.0,194.7,0.0,30.438
Канталупа пъпеш,51,51,60,0.3,0.071,0.079,0.1,14.4,13.9,1.5,1.6,0.0,0.087,159.6,0.0,0.0,0.051,0.013,0.0,0.098,1.3,0.2,0.1,65.0,0.0,0.015,0.028,15.9,0.018,0.4,21.2,0.064,26.6,472.6,0.082,17.939
"Бодлива круша, приготвена",52,52,7,0.043,0.0,0.0,0.0,1.6,0.0,0.091,0.0,0.0,0.0,5.7,0.0,0.035,0.0,0.0,0.027,0.095,0.0,0.093,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.226
Гуава,53,53,37,0.5,0.1,0.054,0.2,7.9,4.9,1.4,3.0,0.0,0.056,44.4,0.0,0.0,0.052,0.007,0.0,0.049,0.6,0.2,0.069,125.6,0.0,0.4,0.019,9.9,0.1,0.1,12.1,0.02,22.0,229.4,0.078,12.956
ягоди,54,54,4,0.069,0.057,0.06,0.036,0.9,0.6,0.01,0.2,0.0,0.068,10.9,0.0,0.063,0.012,0.0,0.026,0.052,0.097,0.092,7.1,0.0,0.079,0.062,1.9,0.089,0.04,1.6,0.083,2.9,18.4,0.027,0.091,10.261
Японската хурма изсъхна,55,55,93,0.2,0.0,0.0,0.0,25.0,0.0,0.5,4.9,0.0,0.002,7.8,0.0,0.0,0.0,0.0,0.053,0.019,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.2,0.3,10.5,0.5,27.5,272.7,0.0,0.1,39.4
диня,56,56,86,0.4,0.026,0.1,0.1,21.6,17.7,1.7,1.1,0.0,0.043,261.5,0.0,0.0,0.089,0.07,0.0,0.037,0.5,0.6,0.1,23.2,0.0,0.1,0.016,20.0,0.1,0.7,28.6,0.1,31.5,320.3,0.089,25.025
бъз,57,57,106,0.7,0.005,0.1,0.4,26.7,0.0,1.0,10.2,0.0,0.042,115.7,0.0,0.1,0.041,0.0,0.061,0.7,0.2,0.3,52.2,0.0,0.0,0.0,55.1,0.047,2.3,7.3,0.0,56.6,406.0,0.097,0.2,148.2
Kumquat,58,58,13,0.2,0.063,0.037,0.042,3.0,1.8,0.4,1.2,0.0,0.018,15.4,0.0,0.0,0.042,0.087,0.0,0.078,0.046,0.077,0.013,8.3,0.0,0.02,0.0,11.8,0.092,0.2,3.8,0.052,3.6,35.3,0.0,4.882
Оранжева кора,59,59,6,0.017,0.046,0.073,0.07,1.5,0.0,0.093,0.6,0.0,0.023,4.4,0.0,0.063,0.003,0.0,0.019,0.018,0.03,0.075,8.2,0.0,0.039,0.0,9.7,0.095,0.097,1.3,0.0,1.3,12.7,0.048,0.012,20.111
Pokeberry издънки,60,60,33,0.7,0.0,0.0,0.0,5.1,2.6,3.8,2.5,0.0,0.4,153.3,0.0,0.1,0.005,0.0,0.4,1.8,0.074,0.2,135.3,0.0,1.4,0.2,87.5,0.2,2.0,23.1,0.6,54.5,303.6,0.02,0.3,236.9
Хляб,61,61,227,0.5,0.1,0.05,0.1,59.7,24.2,2.4,10.8,0.0,0.057,155.4,0.0,0.0,0.2,0.07,0.0,0.031,2.0,1.0,0.2,63.8,0.0,0.2,0.045,37.4,0.2,1.2,55.0,0.1,66.0,1078.0,0.008,73.872
круша,62,62,101,0.2,0.019,0.1,0.2,27.1,17.4,0.6,5.5,0.0,0.07,149.4,0.0,0.063,0.005,0.0,0.072,0.3,0.035,0.079,7.7,0.0,0.2,0.022,16.0,0.1,0.3,12.5,0.082,21.4,206.5,0.051,0.2,57.4
кисели череши,63,63,52,0.3,0.069,0.023,0.09,12.5,8.7,1.0,1.6,0.0,0.071,88.7,0.0,0.0,0.025,0.026,0.0,0.079,0.4,0.1,0.053,10.3,0.0,0.012,0.02,16.5,0.1,0.3,9.3,0.1,15.5,178.2,0.0,15.607
Plantain Raw,64,64,218,0.6,0.3,0.002,0.1,57.1,31.3,2.3,3.0,0.0,0.082,116.7,0.1,0.1,0.002,0.0,0.1,1.2,0.5,0.4,32.9,0.0,0.3,0.01,5.4,0.1,1.0,64.4,0.0,57.3,871.7,0.068,0.3,102.4
къпини замръзнали,65,65,97,0.6,0.017,0.006,0.4,23.7,16.1,1.8,7.6,0.0,0.007,124.1,0.0,0.07,0.001,0.0,0.068,1.8,0.2,0.0,4.7,0.0,1.8,0.1,43.8,0.2,1.2,33.2,1.8,45.3,211.4,0.027,0.4,83.4
Череши,66,66,5,0.056,0.053,0.093,0.047,1.3,1.0,0.068,0.2,0.0,0.0,6.6,0.0,0.0,0.071,0.063,0.0,0.011,0.052,0.083,0.079,0.6,0.0,0.005,0.053,1.0,0.026,0.015,0.9,0.004,1.7,17.8,0.0,1.715
Плантанов пържен,67,67,16,0.6,0.2,0.2,0.1,2.6,0.2,0.023,0.2,0.0,0.065,1.9,0.0,0.084,0.059,0.0,0.099,0.025,0.081,0.023,0.2,0.0,0.0,0.0,0.2,0.028,0.039,3.1,0.096,2.3,25.5,0.0,0.044,3.85
Carambola Starfruit,68,68,26,0.3,0.077,0.01,0.2,5.7,3.4,0.9,2.4,0.0,0.047,77.7,0.0,0.0,0.044,0.021,0.0,0.049,0.3,0.3,0.039,29.2,0.0,0.1,0.0,2.6,0.1,0.056,8.5,0.034,10.2,113.1,0.045,9.403
Чайот готвен,69,69,35,0.8,0.1,0.0,0.0,7.2,0.0,1.0,4.5,0.0,0.4,149.5,0.0,0.04,0.026,0.0,0.03,0.7,0.7,0.2,12.8,0.0,0.0,0.0,20.8,0.2,0.4,19.2,0.3,46.4,276.8,0.063,0.5,47.5
Apple Dippers McDonalds,70,70,33,0.0,0.0,0.0,0.0,8.2,6.3,0.0,0.0,0.0,0.0,59.5,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.4,0.0,0.001,0.0,42.2,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,238.864
Бял грейпфрут,71,71,78,0.2,0.072,0.036,0.032,19.8,17.3,1.6,2.6,0.0,0.0,213.5,0.0,0.031,0.098,0.0,0.045,0.6,0.7,0.1,78.6,0.0,0.3,0.0,28.3,0.1,0.1,21.2,0.047,18.9,349.3,0.013,0.2,131.2
Черимоя,72,72,176,1.6,0.5,0.1,0.4,41.6,30.2,3.7,7.1,0.0,0.061,186.6,0.0,0.0,0.2,0.034,0.0,0.3,1.5,0.8,0.6,29.6,0.0,0.6,0.0,23.5,0.2,0.6,40.0,0.2,61.1,674.5,0.0,54.8
Топки за пъпеш,73,73,57,0.4,0.1,0.032,0.2,13.7,0.0,1.5,1.2,0.0,0.022,156.1,0.0,0.3,0.081,0.0,0.084,1.1,0.3,0.2,10.7,0.0,0.0,0.0,17.3,0.1,0.5,24.2,0.08,20.8,484.4,0.0,0.3,45.3
Златна вкусна ябълка,74,74,62,0.2,0.0,0.0,0.0,14.8,10.9,0.3,2.6,0.0,0.034,93.5,0.0,0.0,0.094,0.061,0.0,0.017,0.1,0.063,0.038,0.0,0.0,0.2,0.043,6.5,0.035,0.1,5.5,0.05,10.9,109.0,0.0,18.014
Pokeberry изстрелва сурово,75,75,37,0.6,0.0,0.0,0.0,5.9,0.0,4.2,2.7,0.0,0.05,146.6,0.0,0.0,0.1,0.001,0.0,0.5,1.9,0.04,0.2,217.6,0.0,0.0,0.0,84.8,0.3,2.7,28.8,0.7,70.4,387.2,0.006,13.9
червени боровинки,76,76,21,0.014,0.089,0.011,0.096,5.4,1.9,0.2,1.6,0.0,0.03,39.2,0.0,0.0,0.081,0.035,0.0,0.023,0.093,0.1,0.098,6.3,0.0,0.5,0.063,3.6,0.033,0.1,2.7,0.2,5.0,36.0,0.049,7.473
дюля,77,77,52,0.012,0.049,0.033,0.089,14.1,0.0,0.4,1.7,0.0,0.081,77.1,0.0,0.0,0.047,0.07,0.0,0.002,0.2,0.037,0.08,13.8,0.0,0.0,0.0,10.1,0.1,0.6,7.4,0.0,15.6,181.2,0.072,16.436
Chayote Raw,78,78,25,0.2,0.027,0.053,0.021,6.0,2.2,1.1,2.2,0.0,0.094,124.4,0.0,0.0,0.065,0.1,0.0,0.041,0.6,0.3,0.1,10.2,0.0,0.2,0.046,22.4,0.2,0.4,15.8,0.2,23.8,165.0,0.047,9.855
Оранжево с кора,79,79,100,0.5,0.036,0.003,0.048,24.6,0.0,2.1,7.2,0.0,0.028,130.9,0.0,0.2,0.019,0.0,0.042,0.8,0.5,0.1,112.9,0.0,0.0,0.0,111.3,0.016,1.3,22.3,0.0,35.0,311.6,0.039,0.2,259.9
chokecherries,80,80,249,2.6,0.0,0.0,0.0,51.8,14.4,4.7,30.8,0.0,0.078,93.5,0.0,0.005,0.027,0.0,0.3,1.0,0.6,0.3,8.5,0.0,0.5,0.089,92.4,0.3,1.1,41.6,0.6,103.2,583.7,0.0,0.5,191.9
Манго,81,81,202,1.3,0.3,0.5,0.2,50.3,45.9,2.8,5.4,0.0,0.027,280.4,0.0,0.0,0.034,0.1,0.0,0.1,2.2,0.7,0.4,122.3,0.0,3.0,0.019,37.0,0.4,0.5,33.6,0.2,47.0,564.5,0.08,60.641
Дива слива,82,82,147,0.3,0.0,0.0,0.0,35.3,17.1,0.7,9.7,0.0,0.047,123.5,0.0,0.047,0.098,0.0,0.014,0.6,0.5,0.1,16.6,0.0,0.9,0.077,17.7,0.027,0.3,12.9,0.1,48.3,586.0,0.0,0.1,80.6
Jeijoa,83,83,148,1.0,0.3,0.1,0.3,37.0,19.9,1.7,15.6,0.0,0.041,202.4,0.0,0.001,0.071,0.0,0.015,0.7,0.6,0.2,79.9,0.0,0.4,0.041,41.3,0.006,0.3,21.9,0.2,46.2,418.0,0.0,0.1,176.8
приземяване,84,84,74,1.0,0.0,0.0,0.0,15.7,0.0,2.7,0.0,0.0,0.0,119.6,0.0,0.2,0.0,0.0,0.043,3.9,0.0,0.0,15.4,0.0,0.0,0.0,12.6,0.0,1.4,0.0,0.0,56.0,0.0,0.0,0.0,48.8
Песка,85,85,30,0.1,6.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Перна,86,86,32,0.1,0.0,0.0,0.0,8.4,0.0,0.2,0.0,0.0,0.024,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,6.8,0.0,0.6,0.0,0.0,6.5,77.5,0.0,0.0,32.6
грозде,87,87,3,0.044,0.041,0.012,0.008,0.9,0.8,0.045,0.087,0.0,0.009,3.9,0.0,0.071,0.091,0.0,0.009,0.045,0.006,0.033,0.2,0.0,0.089,0.042,0.5,0.055,0.012,0.3,0.037,1.0,9.4,0.059,0.011,1.83
Рамбутан консерви,88,88,175,0.4,0.0,0.0,0.0,44.7,0.0,1.4,1.9,0.0,0.051,167.0,0.0,0.088,0.019,0.0,0.077,2.9,0.094,0.039,10.5,0.0,0.0,0.0,47.1,0.1,0.7,15.0,0.7,19.3,89.9,0.0,0.2,106.7
Смокини консервирани,89,89,14,0.039,0.066,0.066,0.045,3.8,3.2,0.1,0.6,0.0,0.049,23.0,0.0,0.008,0.036,0.0,0.093,0.1,0.044,0.094,0.3,0.0,0.092,0.041,7.6,0.003,0.069,2.7,0.095,2.7,27.8,0.093,0.014,12.491
Снички консервирани,90,90,246,0.5,0.072,0.3,0.1,65.1,0.0,2.0,8.9,0.0,0.044,165.4,0.0,0.044,0.0,0.0,0.3,2.0,0.2,0.5,6.6,0.0,0.0,0.0,39.8,0.3,1.0,35.1,0.2,60.8,528.8,0.0,0.4,123.9
ананаси консервирани,91,91,28,0.05,0.079,0.039,0.078,7.4,6.8,0.2,0.4,0.0,0.06,39.2,0.0,0.066,0.041,0.0,0.03,0.1,0.087,0.068,4.5,0.0,0.048,0.016,6.6,0.026,0.1,6.6,0.5,2.8,57.3,0.047,0.092,19.255
